x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-0.6499999999999999,0.259447804657212,0.0896112484978672,0.13960418319738735
-0.6400000000000001,0.26269862889175166,0.0913595725134743,0.14318693073395428
-0.6299999999999999,0.265970161539809,0.09313736203583016,0.14684061428190867
-0.6200000000000001,0.26926220529736605,0.09494494776850779,0.15056560429074095
-0.6099999999999999,0.2725745575085172,0.09678265767135766,0.15436223161210705
-0.6000000000000001,0.2759070101931675,0.09865081667946289,0.158230786279144
-0.5899999999999999,0.27925935007703784,0.10054974641654958,0.16217151631571405
-0.5800000000000001,0.28263135862397576,0.10247976490305057,0.16618462657830468
-0.5699999999999998,0.2860228120705704,0.10444118625903658,0.17027027763330072
-0.56,0.289433481463067,0.1064343204022446,0.17442858467232927
-0.5499999999999998,0.2928631326965769,0.10845947274145018,0.17865961646835266
-0.54,0.2963115265565746,0.11051694386544579,0.18296339437515402
-0.5299999999999998,0.29977841876267675,0.11260702922790412,0.1873398913728222
-0.52,0.30326356001469074,0.11473001882842138,0.19178903116179682
-0.5099999999999998,0.30676669604092405,0.1168861968900511,0.19631068730798193
-0.5,0.31028756764874144,0.11907584153365595,0.2009046824413771
-0.48999999999999977,0.313825910777357,0.12129922444941968,0.20557078751060817
-0.48,0.31738145655284417,0.12355661056587743,0.2103087210956656
-0.46999999999999975,0.3209539313453502,0.1258482577168379,0.21511814878107818
-0.45999999999999996,0.32454305682849477,0.1281744163065853,0.219998682591662
-0.44999999999999973,0.328148550040934,0.13053532897376327,0.224949880492889
-0.43999999999999995,0.3317701234500707,0.13293123025435818,0.22997124595782142
-0.4299999999999997,0.3354074850178862,0.13536234624421065,0.2350622276024471
-0.41999999999999993,0.3390603382688734,0.13782889426149886,0.24022221889114045
-0.41000000000000014,0.3427283823600436,0.14033108250964832,0.245450557913852
-0.3999999999999999,0.34641131215298226,0.14286910974113493,0.25074652723650487
-0.3900000000000001,0.3501088182879262,0.14544316492265813,0.2561093538259457
-0.3799999999999999,0.35382058725983334,0.14805342690217277,0.26153820905066133
-0.3700000000000001,0.35754630149641425,0.1507000640782749,0.26703220875833106
-0.3599999999999999,0.3612856394380953,0.15338323407244747,0.27259041343113866
-0.3500000000000001,0.3650382756198796,0.15610308340467766,0.2782118284196196
-0.33999999999999986,0.36880388075507214,0.1588597471729647,0.28389540425566384
-0.33000000000000007,0.37258212182083406,0.16165334873724188,0.28964003704513674
-0.31999999999999984,0.3763726621455295,0.16448399940824102,0.29544456894042287
-0.31000000000000005,0.3801751614978276,0.16735179814183074,0.3013077886930313
-0.2999999999999998,0.38398927617752016,0.1702568312393614,0.3072284322862371
-0.29000000000000004,0.387814659108016,0.17319917205455126,0.3132051836475665
-0.2799999999999998,0.3916509599304697,0.1761788807074463,0.3192366754407644
-0.27,0.395497825099504,0.17919600380598663,0.3253214899367127
-0.2599999999999998,0.39935489798048085,0.18225057417570706,0.3314581599625982
-0.25,0.4032218189482785,0.185342610598097,0.3376451699284592
-0.23999999999999977,0.40709822548752755,0.1884721175581381,0.3438809569300699
-0.22999999999999998,0.4109837522942609,0.19163908500153098,0.3501639119269515
-0.21999999999999975,0.41487803137892965,0.19484348810211538,0.3564923809941345
-0.20999999999999996,0.418780692170737,0.19808528703997672,0.36286466664612865
-0.19999999999999973,0.42269136162324006,0.20136442679072214,0.36927902923139505
-0.18999999999999995,0.4266096643211709,0.2046808369263967,0.3757336883954547
-0.17999999999999972,0.43053522258842525,0.20803443142849645,0.3822268246106098
-0.16999999999999993,0.43446765659716635,0.21142510851352045,0.388756580770103
-0.16000000000000014,0.4384065844779931,0.21485275047148716,0.39532106384438803
-0.1499999999999999,0.4423516224311178,0.21831722351782407,0.40191834659704373
